고유키,반려동물 이름,반려동물 품종,반려동물 성별,반려동물 크기,중성화 유무,반려동물 무게,반려동물 생일,국가동물번호,맹견 여부,체고,종합예방,코로나 장염,전염성기관지염,광견병,SMS 수신 동의,SMS 동의/거부일,E-Mail 수신 동의,E-Mail 동의/거부일,가입 포인트,적립 포인트,사용 포인트,보유 포인트,가입일,작성 게시물 개수,작성 댓글 개수,구매평 작성,문의 작성,로그인 횟수,마지막 로그인,최종 로그인 IP,구매횟수(KRW),구매금액(KRW),NAVER ID,KAKAO ID,GOOGLE ID,FACEBOOK ID,APPLE ID,LINE ID,관리자 메모
m20240513f07dd6c62295b,,"요크셔 테리어
마르티스",,,유,,,,,,,,,,N,,N,,0,0,0,0,2024-05-13 12:11:09,0,0,0,0,288,2024-06-20 / 10:53:52,221.168.172.60,0,0,,,,,,,이세키 일잘함
m20240516183799d0df6c9,멍멍이,닥스훈트,,,,,,,,,,,,,N,,N,,0,0,0,0,2024-05-16 15:38:26,0,0,0,0,14,2024-06-10 / 14:12:27,221.165.147.196,0,0,,,,,,,
m2024052944396409cf807,,,,,,,,,,,,,,,Y,2024-05-29,Y,2024-05-29,0,0,0,0,2024-05-29 14:48:51,0,0,0,0,2,2024-05-29 / 17:35:14,106.101.130.50,0,0,,3503476235,,,,,
m20240530c7298506fbe9d,,,,,,,,,,,,,,,Y,2024-05-30,Y,2024-05-30,0,0,0,0,2024-05-30 19:19:45,0,0,0,0,32,2024-06-19 / 05:18:33,218.50.245.70,0,0,,3485874667,,,,,
m202405310c92536ea20cf,짜장,진도믹스,남아,대형,유,15kg 이상,2021-04-01,,,,,,,,Y,2024-05-31,Y,2024-05-31,0,0,0,0,2024-05-31 14:55:32,0,0,0,0,9,2024-06-14 / 16:56:07,14.36.72.179,0,0,,3506322493,,,,,
m20240531cfba4cf200a48,나나,푸들,여아,소형,무,3~5kg,2021-02-04,,,,,,,,Y,2024-05-31,Y,2024-05-31,0,0,0,0,2024-05-31 15:18:42,0,0,0,0,9,2024-06-19 / 15:58:16,14.36.72.179,0,0,,3506353511,,,,,d]ㅋㅌㅊㅋㅌㅊ
m20240603b4ce61c3409e7,,,,,,,,,,,,,,,Y,2024-06-03,Y,2024-06-03,0,0,0,0,2024-06-03 10:55:25,0,0,0,0,3,2024-06-03 / 12:26:36,59.13.46.31,0,0,,3510077005,,,,,
m202406031a000860c66ad,,,,,,,,,,,,,,,Y,2024-06-03,Y,2024-06-03,0,0,0,0,2024-06-03 15:01:13,0,0,0,0,1,2024-06-03 / 15:01:13,106.101.129.236,0,0,,3510433153,,,,,
